Gene	CancerType
ABL1	Breast
ACVR1	Breast
ACVR1B	Breast
ACVR2A	Breast
AJUBA	Breast
AKT1	Breast
ALB	Breast
ALK	Breast
AMER1	Breast
APC	Breast
APOB	Breast
AR	Breast
ARAF	Breast
ARHGAP35	Breast
ARID1A	Breast
ARID1B	Breast
ARID2	Breast
ARID5B	Breast
ASXL1	Breast
ASXL2	Breast
ATF7IP	Breast
ATM	Breast
ATR	Breast
ATRX	Breast
ATXN3	Breast
AXIN1	Breast
AXIN2	Breast
B2M	Breast
BAP1	Breast
BARD1	Breast
BCL2	Breast
BCL2L11	Breast
BCOR	Breast
BRAF	Breast
BRCA1	Breast
BRCA2	Breast
BRD7	Breast
BTG2	Breast
CACNA1A	Breast
CARD11	Breast
CASP8	Breast
CBFB	Breast
CBWD3	Breast
CCND1	Breast
CD70	Breast
CD79B	Breast
CDH1	Breast
CDK12	Breast
CDK4	Breast
CDKN1A	Breast
CDKN1B	Breast
CDKN2A	Breast
CDKN2C	Breast
CEBPA	Breast
CHD3	Breast
CHD4	Breast
CHD8	Breast
CHEK2	Breast
CIC	Breast
CNBD1	Breast
COL5A1	Breast
CREB3L3	Breast
CREBBP	Breast
CSDE1	Breast
CTCF	Breast
CTNNB1	Breast
CTNND1	Breast
CUL1	Breast
CUL3	Breast
CYLD	Breast
CYSLTR2	Breast
DACH1	Breast
DAZAP1	Breast
DDX3X	Breast
DHX9	Breast
DIAPH2	Breast
DICER1	Breast
DMD	Breast
DNMT3A	Breast
EEF1A1	Breast
EEF2	Breast
EGFR	Breast
EGR3	Breast
EIF1AX	Breast
ELF3	Breast
EP300	Breast
EPAS1	Breast
EPHA2	Breast
EPHA3	Breast
ERBB2	Breast
ERBB3	Breast
ERBB4	Breast
ERCC2	Breast
ESR1	Breast
ETV6	Breast
EZH2	Breast
FAM46D	Breast
FAT1	Breast
FBLN2	Breast
FBXW7	Breast
FGFR1	Breast
FGFR2	Breast
FGFR3	Breast
FLNA	Breast
FLT3	Breast
FOXA1	Breast
FOXA2	Breast
FOXQ1	Breast
FUBP1	Breast
GABRA6	Breast
GATA3	Breast
GNA11	Breast
GNA13	Breast
GNAQ	Breast
GNAS	Breast
GPS2	Breast
GRIN2D	Breast
GTF2I	Breast
H3F3A	Breast
H3F3C	Breast
HGF	Breast
HIST1H1C	Breast
HIST1H1E	Breast
HLA-A	Breast
HLA-B	Breast
HRAS	Breast
HUWE1	Breast
IDH1	Breast
IDH2	Breast
IL6ST	Breast
IL7R	Breast
INPPL1	Breast
IRF2	Breast
IRF6	Breast
IRS4	Breast
JAK1	Breast
JAK2	Breast
JAK3	Breast
KANSL1	Breast
KDM5C	Breast
KDM6A	Breast
KEAP1	Breast
KEL	Breast
KIF1A	Breast
KIT	Breast
KLF5	Breast
KMT2A	Breast
KMT2B	Breast
KMT2C	Breast
KMT2D	Breast
KRAS	Breast
KRT222	Breast
LATS1	Breast
LATS2	Breast
LEMD2	Breast
LZTR1	Breast
MACF1	Breast
MAP2K1	Breast
MAP2K4	Breast
MAP3K1	Breast
MAP3K13	Breast
MAP3K4	Breast
MAPK1	Breast
MAX	Breast
MECOM	Breast
MED12	Breast
MEN1	Breast
MET	Breast
MGA	Breast
MGMT	Breast
MLH1	Breast
MSH2	Breast
MSH3	Breast
MSH6	Breast
MTOR	Breast
MUC6	Breast
MYC	Breast
MYCN	Breast
MYD88	Breast
MYH9	Breast
NCOR1	Breast
NF1	Breast
NF2	Breast
NFE2L2	Breast
NIPBL	Breast
NOTCH1	Breast
NOTCH2	Breast
NPM1	Breast
NRAS	Breast
NSD1	Breast
NTRK3	Breast
NUP133	Breast
NUP93	Breast
PAX5	Breast
PBRM1	Breast
PCBP1	Breast
PDGFRA	Breast
PDS5B	Breast
PGR	Breast
PHF6	Breast
PIK3CA	Breast
PIK3CB	Breast
PIK3CG	Breast
PIK3R1	Breast
PIK3R2	Breast
PIM1	Breast
PLCB4	Breast
PLCG1	Breast
PLXNB2	Breast
PMS1	Breast
PMS2	Breast
POLE	Breast
POLQ	Breast
POLRMT	Breast
PPM1D	Breast
PPP2R1A	Breast
PPP6C	Breast
PRKAR1A	Breast
PSIP1	Breast
PTCH1	Breast
PTEN	Breast
PTMA	Breast
PTPDC1	Breast
PTPN11	Breast
PTPRC	Breast
PTPRD	Breast
RAC1	Breast
RAD21	Breast
RAF1	Breast
RARA	Breast
RASA1	Breast
RB1	Breast
RBM10	Breast
RET	Breast
RFC1	Breast
RHEB	Breast
RHOA	Breast
RHOB	Breast
RIT1	Breast
RNF111	Breast
RNF43	Breast
RPL22	Breast
RPL5	Breast
RPS6KA3	Breast
RQCD1	Breast
RRAS2	Breast
RUNX1	Breast
RXRA	Breast
SALL4	Breast
SCAF4	Breast
SETBP1	Breast
SETD2	Breast
SF1	Breast
SF3B1	Breast
SIN3A	Breast
SMAD2	Breast
SMAD4	Breast
SMARCA1	Breast
SMARCA4	Breast
SMARCB1	Breast
SMARCD1	Breast
SMC1A	Breast
SMC3	Breast
SOS1	Breast
SOX17	Breast
SOX9	Breast
SPOP	Breast
SPTA1	Breast
SPTAN1	Breast
SRSF2	Breast
STAG2	Breast
STK11	Breast
TAF1	Breast
TBL1XR1	Breast
TBX3	Breast
TCEB1	Breast
TCF12	Breast
TCF7L2	Breast
TET2	Breast
TGFBR2	Breast
TGIF1	Breast
THRAP3	Breast
TLR4	Breast
TMSB4X	Breast
TNFAIP3	Breast
TP53	Breast
TRAF3	Breast
TSC1	Breast
TSC2	Breast
TXNIP	Breast
U2AF1	Breast
UNCX	Breast
USP9X	Breast
VHL	Breast
WHSC1	Breast
WT1	Breast
XPO1	Breast
ZBTB20	Breast
ZBTB7B	Breast
ZC3H12A	Breast
ZCCHC12	Breast
ZFHX3	Breast
ZFP36L1	Breast
ZFP36L2	Breast
