Mut_id	N.OXPHOS	N.mutated_OXPHOS	OXPHOS	N.IMregulatory	N.mutated_IMregulatory	IM.regulatory	N.IM/MES	N.mutated_IM/MES	IM/MES	N.LAR	N.mutated_LAR	LAR
PIK3CA	14	2	0.142857143	21	2	0.095238095	84	8	0.095238095	39	18	0.461538462
KDM6A	14	1	0.071428571	21	0	0	84	1	0.011904762	39	1	0.025641026
TP53	14	12	0.857142857	21	20	0.952380952	84	64	0.761904762	39	26	0.666666667
AGMO	14	1	0.071428571	21	0	0	84	1	0.011904762	39	3	0.076923077
TTYH1	14	0	0	21	1	0.047619048	84	0	0	39	1	0.025641026
MYH9	14	1	0.071428571	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
SMARCC2	14	0	0	21	0	0	84	2	0.023809524	39	0	0
COL22A1	14	1	0.071428571	21	2	0.095238095	84	2	0.023809524	39	1	0.025641026
ROS1	14	1	0.071428571	21	1	0.047619048	84	2	0.023809524	39	2	0.051282051
MLL2	14	0	0	21	2	0.095238095	84	7	0.083333333	39	1	0.025641026
AHNAK	14	1	0.071428571	21	3	0.142857143	84	9	0.107142857	39	3	0.076923077
COL12A1	14	1	0.071428571	21	1	0.047619048	84	5	0.05952381	39	2	0.051282051
SYNE1	14	3	0.214285714	21	5	0.238095238	84	15	0.178571429	39	5	0.128205128
MUC16	14	1	0.071428571	21	6	0.285714286	84	16	0.19047619	39	7	0.179487179
ALK	14	1	0.071428571	21	0	0	84	1	0.011904762	39	0	0
KMT2C	14	2	0.142857143	21	2	0.095238095	84	7	0.083333333	39	5	0.128205128
USH2A	14	1	0.071428571	21	2	0.095238095	84	9	0.107142857	39	2	0.051282051
DNAH5	14	3	0.214285714	21	0	0	84	6	0.071428571	39	2	0.051282051
ATR	14	1	0.071428571	21	2	0.095238095	84	1	0.011904762	39	2	0.051282051
PTEN	14	0	0	21	1	0.047619048	84	2	0.023809524	39	4	0.102564103
CDKN2A	14	0	0	21	0	0	84	0	0	39	2	0.051282051
SETD2	14	0	0	21	0	0	84	1	0.011904762	39	4	0.102564103
MLLT4	14	1	0.071428571	21	0	0	84	2	0.023809524	39	2	0.051282051
THADA	14	1	0.071428571	21	1	0.047619048	84	6	0.071428571	39	1	0.025641026
AHNAK2	14	1	0.071428571	21	3	0.142857143	84	17	0.202380952	39	5	0.128205128
PALLD	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ERBB3	14	0	0	21	0	0	84	4	0.047619048	39	1	0.025641026
LAMA2	14	1	0.071428571	21	1	0.047619048	84	6	0.071428571	39	1	0.025641026
PRKG1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
DNAH11	14	4	0.285714286	21	0	0	84	11	0.130952381	39	3	0.076923077
CLK3	14	0	0	21	2	0.095238095	84	1	0.011904762	39	0	0
ASXL2	14	0	0	21	1	0.047619048	84	2	0.023809524	39	0	0
USP28	14	0	0	21	0	0	84	1	0.011904762	39	1	0.025641026
ARID1A	14	1	0.071428571	21	0	0	84	2	0.023809524	39	1	0.025641026
PTPRM	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
RYR2	14	0	0	21	2	0.095238095	84	4	0.047619048	39	4	0.102564103
ARID1B	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
STAB2	14	2	0.142857143	21	0	0	84	2	0.023809524	39	0	0
UTRN	14	1	0.071428571	21	2	0.095238095	84	7	0.083333333	39	4	0.102564103
TAF1	14	0	0	21	3	0.142857143	84	2	0.023809524	39	1	0.025641026
BIRC6	14	0	0	21	0	0	84	3	0.035714286	39	4	0.102564103
BRCA1	14	0	0	21	2	0.095238095	84	6	0.071428571	39	0	0
AKT1	14	1	0.071428571	21	0	0	84	1	0.011904762	39	6	0.153846154
PRKCQ	14	0	0	21	1	0.047619048	84	1	0.011904762	39	0	0
DCAF4L2	14	0	0	21	1	0.047619048	84	1	0.011904762	39	1	0.025641026
PDE4DIP	14	0	0	21	1	0.047619048	84	6	0.071428571	39	3	0.076923077
CDH1	14	0	0	21	0	0	84	0	0	39	2	0.051282051
MAP3K13	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
NF1	14	0	0	21	0	0	84	1	0.011904762	39	3	0.076923077
DNAH2	14	1	0.071428571	21	3	0.142857143	84	12	0.142857143	39	3	0.076923077
THSD7A	14	0	0	21	1	0.047619048	84	4	0.047619048	39	1	0.025641026
MYO3A	14	0	0	21	0	0	84	3	0.035714286	39	1	0.025641026
