pathway_name	pathway_id	ko_ID	ko_name
Glycolysis/Gluconeogenesis	10	10327	AKR1A1
Glycolysis/Gluconeogenesis	10	124	ADH1A
Glycolysis/Gluconeogenesis	10	125	ADH1B
Glycolysis/Gluconeogenesis	10	126	ADH1C
Glycolysis/Gluconeogenesis	10	127	ADH4
Glycolysis/Gluconeogenesis	10	128	ADH5
Glycolysis/Gluconeogenesis	10	130589	GALM
Glycolysis/Gluconeogenesis	10	130	ADH6
Glycolysis/Gluconeogenesis	10	131	ADH7
Glycolysis/Gluconeogenesis	10	160287	LDHAL6A
Glycolysis/Gluconeogenesis	10	1737	DLAT
Glycolysis/Gluconeogenesis	10	1738	DLD
Glycolysis/Gluconeogenesis	10	2023	ENO1
Glycolysis/Gluconeogenesis	10	2026	ENO2
Glycolysis/Gluconeogenesis	10	2027	ENO3
Glycolysis/Gluconeogenesis	10	217	ALDH2
Glycolysis/Gluconeogenesis	10	218	ALDH3A1
Glycolysis/Gluconeogenesis	10	219	ALDH1B1
Glycolysis/Gluconeogenesis	10	2203	FBP1
Glycolysis/Gluconeogenesis	10	221	ALDH3B1
Glycolysis/Gluconeogenesis	10	222	ALDH3B2
Glycolysis/Gluconeogenesis	10	223	ALDH9A1
Glycolysis/Gluconeogenesis	10	224	ALDH3A2
Glycolysis/Gluconeogenesis	10	226	ALDOA
Glycolysis/Gluconeogenesis	10	229	ALDOB
Glycolysis/Gluconeogenesis	10	230	ALDOC
Glycolysis/Gluconeogenesis	10	2538	G6PC1
Glycolysis/Gluconeogenesis	10	2597	GAPDH
Glycolysis/Gluconeogenesis	10	26330	GAPDHS
Glycolysis/Gluconeogenesis	10	2645	GCK
Glycolysis/Gluconeogenesis	10	2821	GPI
Glycolysis/Gluconeogenesis	10	3098	HK1
Glycolysis/Gluconeogenesis	10	3099	HK2
Glycolysis/Gluconeogenesis	10	3101	HK3
Glycolysis/Gluconeogenesis	10	387712	ENO4
Glycolysis/Gluconeogenesis	10	3939	LDHA
Glycolysis/Gluconeogenesis	10	3945	LDHB
Glycolysis/Gluconeogenesis	10	3948	LDHC
Glycolysis/Gluconeogenesis	10	441531	PGAM4
Glycolysis/Gluconeogenesis	10	501	ALDH7A1
Glycolysis/Gluconeogenesis	10	5105	PCK1
Glycolysis/Gluconeogenesis	10	5106	PCK2
Glycolysis/Gluconeogenesis	10	5160	PDHA1
Glycolysis/Gluconeogenesis	10	5161	PDHA2
Glycolysis/Gluconeogenesis	10	5162	PDHB
Glycolysis/Gluconeogenesis	10	5211	PFKL
Glycolysis/Gluconeogenesis	10	5213	PFKM
Glycolysis/Gluconeogenesis	10	5214	PFKP
Glycolysis/Gluconeogenesis	10	5223	PGAM1
Glycolysis/Gluconeogenesis	10	5224	PGAM2
Glycolysis/Gluconeogenesis	10	5230	PGK1
Glycolysis/Gluconeogenesis	10	5232	PGK2
Glycolysis/Gluconeogenesis	10	5236	PGM1
Glycolysis/Gluconeogenesis	10	5313	PKLR
Glycolysis/Gluconeogenesis	10	5315	PKM
Glycolysis/Gluconeogenesis	10	55276	PGM2
Glycolysis/Gluconeogenesis	10	55902	ACSS2
Glycolysis/Gluconeogenesis	10	57818	G6PC2
Glycolysis/Gluconeogenesis	10	669	BPGM
Glycolysis/Gluconeogenesis	10	7167	TPI1
Glycolysis/Gluconeogenesis	10	80201	HKDC1
Glycolysis/Gluconeogenesis	10	8050	PDHX
Glycolysis/Gluconeogenesis	10	83440	ADPGK
Glycolysis/Gluconeogenesis	10	84532	ACSS1
Glycolysis/Gluconeogenesis	10	8789	FBP2
Glycolysis/Gluconeogenesis	10	92483	LDHAL6B
Glycolysis/Gluconeogenesis	10	92579	G6PC3
Glycolysis/Gluconeogenesis	10	9562	MINPP1
Citrate_cycle_(TCA_cycle)	20	1431	CS
Citrate_cycle_(TCA_cycle)	20	1737	DLAT
Citrate_cycle_(TCA_cycle)	20	1738	DLD
Citrate_cycle_(TCA_cycle)	20	1743	DLST
Citrate_cycle_(TCA_cycle)	20	2271	FH
Citrate_cycle_(TCA_cycle)	20	3417	IDH1
Citrate_cycle_(TCA_cycle)	20	3418	IDH2
Citrate_cycle_(TCA_cycle)	20	3419	IDH3A
Citrate_cycle_(TCA_cycle)	20	3420	IDH3B
Citrate_cycle_(TCA_cycle)	20	3421	IDH3G
Citrate_cycle_(TCA_cycle)	20	4190	MDH1
Citrate_cycle_(TCA_cycle)	20	4191	MDH2
Citrate_cycle_(TCA_cycle)	20	47	ACLY
Citrate_cycle_(TCA_cycle)	20	48	ACO1
Citrate_cycle_(TCA_cycle)	20	4967	OGDH
Citrate_cycle_(TCA_cycle)	20	5091	PC
Citrate_cycle_(TCA_cycle)	20	50	ACO2
Citrate_cycle_(TCA_cycle)	20	5105	PCK1
Citrate_cycle_(TCA_cycle)	20	5106	PCK2
Citrate_cycle_(TCA_cycle)	20	5160	PDHA1
Citrate_cycle_(TCA_cycle)	20	5161	PDHA2
Citrate_cycle_(TCA_cycle)	20	5162	PDHB
Citrate_cycle_(TCA_cycle)	20	55753	OGDHL
Citrate_cycle_(TCA_cycle)	20	6389	SDHA
Citrate_cycle_(TCA_cycle)	20	6390	SDHB
Citrate_cycle_(TCA_cycle)	20	6391	SDHC
Citrate_cycle_(TCA_cycle)	20	6392	SDHD
Citrate_cycle_(TCA_cycle)	20	8050	PDHX
Citrate_cycle_(TCA_cycle)	20	8801	SUCLG2
Citrate_cycle_(TCA_cycle)	20	8802	SUCLG1
Citrate_cycle_(TCA_cycle)	20	8803	SUCLA2
Pentose_phosphate_pathway	30	132158	GLYCTK
Pentose_phosphate_pathway	30	2203	FBP1
Pentose_phosphate_pathway	30	221823	PRPS1L1
Pentose_phosphate_pathway	30	226	ALDOA
Pentose_phosphate_pathway	30	22934	RPIA
Pentose_phosphate_pathway	30	229	ALDOB
Pentose_phosphate_pathway	30	230	ALDOC
Pentose_phosphate_pathway	30	23729	SHPK
Pentose_phosphate_pathway	30	2539	G6PD
Pentose_phosphate_pathway	30	25796	PGLS
Pentose_phosphate_pathway	30	2821	GPI
Pentose_phosphate_pathway	30	414328	IDNK
Pentose_phosphate_pathway	30	51071	DERA
Pentose_phosphate_pathway	30	5211	PFKL
Pentose_phosphate_pathway	30	5213	PFKM
Pentose_phosphate_pathway	30	5214	PFKP
Pentose_phosphate_pathway	30	5226	PGD
Pentose_phosphate_pathway	30	5236	PGM1
Pentose_phosphate_pathway	30	55276	PGM2
Pentose_phosphate_pathway	30	5631	PRPS1
Pentose_phosphate_pathway	30	5634	PRPS2
Pentose_phosphate_pathway	30	6120	RPE
Pentose_phosphate_pathway	30	64080	RBKS
Pentose_phosphate_pathway	30	6888	TALDO1
Pentose_phosphate_pathway	30	7086	TKT
Pentose_phosphate_pathway	30	729020	RPEL1
Pentose_phosphate_pathway	30	8277	TKTL1
Pentose_phosphate_pathway	30	84076	TKTL2
Pentose_phosphate_pathway	30	8789	FBP2
Pentose_phosphate_pathway	30	9104	RGN
Pentose_phosphate_pathway	30	9563	H6PD
Pentose_and_glucuronate_interconversions	40	10327	AKR1A1
Pentose_and_glucuronate_interconversions	40	10720	UGT2B11
Pentose_and_glucuronate_interconversions	40	10941	UGT2A1
Pentose_and_glucuronate_interconversions	40	231	AKR1B1
Pentose_and_glucuronate_interconversions	40	27294	DHDH
Pentose_and_glucuronate_interconversions	40	2990	GUSB
Pentose_and_glucuronate_interconversions	40	441282	AKR1B15
Pentose_and_glucuronate_interconversions	40	51084	CRYL1
Pentose_and_glucuronate_interconversions	40	51181	DCXR
