pathway_id	pathway_name	ko_ID	ko_name
9101	Carbohydrate_metabolism	10327	AKR1A1
9101	Carbohydrate_metabolism	124	ADH1A
9101	Carbohydrate_metabolism	125	ADH1B
9101	Carbohydrate_metabolism	126	ADH1C
9101	Carbohydrate_metabolism	127	ADH4
9101	Carbohydrate_metabolism	128	ADH5
9101	Carbohydrate_metabolism	130589	GALM
9101	Carbohydrate_metabolism	130	ADH6
9101	Carbohydrate_metabolism	131	ADH7
9101	Carbohydrate_metabolism	160287	LDHAL6A
9101	Carbohydrate_metabolism	1737	DLAT
9101	Carbohydrate_metabolism	1738	DLD
9101	Carbohydrate_metabolism	2023	ENO1
9101	Carbohydrate_metabolism	2026	ENO2
9101	Carbohydrate_metabolism	2027	ENO3
9101	Carbohydrate_metabolism	217	ALDH2
9101	Carbohydrate_metabolism	218	ALDH3A1
9101	Carbohydrate_metabolism	219	ALDH1B1
9101	Carbohydrate_metabolism	2203	FBP1
9101	Carbohydrate_metabolism	221	ALDH3B1
9101	Carbohydrate_metabolism	222	ALDH3B2
9101	Carbohydrate_metabolism	223	ALDH9A1
9101	Carbohydrate_metabolism	224	ALDH3A2
9101	Carbohydrate_metabolism	226	ALDOA
9101	Carbohydrate_metabolism	229	ALDOB
9101	Carbohydrate_metabolism	230	ALDOC
9101	Carbohydrate_metabolism	2538	G6PC1
9101	Carbohydrate_metabolism	2597	GAPDH
9101	Carbohydrate_metabolism	26330	GAPDHS
9101	Carbohydrate_metabolism	2645	GCK
9101	Carbohydrate_metabolism	2821	GPI
9101	Carbohydrate_metabolism	3098	HK1
9101	Carbohydrate_metabolism	3099	HK2
9101	Carbohydrate_metabolism	3101	HK3
9101	Carbohydrate_metabolism	387712	ENO4
9101	Carbohydrate_metabolism	3939	LDHA
9101	Carbohydrate_metabolism	3945	LDHB
9101	Carbohydrate_metabolism	3948	LDHC
9101	Carbohydrate_metabolism	441531	PGAM4
9101	Carbohydrate_metabolism	501	ALDH7A1
9101	Carbohydrate_metabolism	5105	PCK1
9101	Carbohydrate_metabolism	5106	PCK2
9101	Carbohydrate_metabolism	5160	PDHA1
9101	Carbohydrate_metabolism	5161	PDHA2
9101	Carbohydrate_metabolism	5162	PDHB
9101	Carbohydrate_metabolism	5211	PFKL
9101	Carbohydrate_metabolism	5213	PFKM
9101	Carbohydrate_metabolism	5214	PFKP
9101	Carbohydrate_metabolism	5223	PGAM1
9101	Carbohydrate_metabolism	5224	PGAM2
9101	Carbohydrate_metabolism	5230	PGK1
9101	Carbohydrate_metabolism	5232	PGK2
9101	Carbohydrate_metabolism	5236	PGM1
9101	Carbohydrate_metabolism	5313	PKLR
9101	Carbohydrate_metabolism	5315	PKM
9101	Carbohydrate_metabolism	55276	PGM2
9101	Carbohydrate_metabolism	55902	ACSS2
9101	Carbohydrate_metabolism	57818	G6PC2
9101	Carbohydrate_metabolism	669	BPGM
9101	Carbohydrate_metabolism	7167	TPI1
9101	Carbohydrate_metabolism	80201	HKDC1
9101	Carbohydrate_metabolism	8050	PDHX
9101	Carbohydrate_metabolism	83440	ADPGK
9101	Carbohydrate_metabolism	84532	ACSS1
9101	Carbohydrate_metabolism	8789	FBP2
9101	Carbohydrate_metabolism	92483	LDHAL6B
9101	Carbohydrate_metabolism	92579	G6PC3
9101	Carbohydrate_metabolism	9562	MINPP1
9101	Carbohydrate_metabolism	1431	CS
9101	Carbohydrate_metabolism	1737	DLAT
9101	Carbohydrate_metabolism	1738	DLD
9101	Carbohydrate_metabolism	1743	DLST
9101	Carbohydrate_metabolism	2271	FH
9101	Carbohydrate_metabolism	3417	IDH1
9101	Carbohydrate_metabolism	3418	IDH2
9101	Carbohydrate_metabolism	3419	IDH3A
9101	Carbohydrate_metabolism	3420	IDH3B
9101	Carbohydrate_metabolism	3421	IDH3G
9101	Carbohydrate_metabolism	4190	MDH1
9101	Carbohydrate_metabolism	4191	MDH2
9101	Carbohydrate_metabolism	47	ACLY
9101	Carbohydrate_metabolism	48	ACO1
9101	Carbohydrate_metabolism	4967	OGDH
