Mut_id	id	loc	N.OXPHOS	N.mutated_OXPHOS	OXPHOS	N.IM regulatory	N.mutated_IM regulatory	IM.regulatory	N.IM/MES	N.mutated_IM/MES	IM/MES	N.LAR	N.mutated_LAR	LAR
A1BG_amp	amp	19q13.43	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
A1BG-AS1_amp	amp	19q13.43	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
A1CF_amp	amp	10q11.23	14	1	0.071428571	21	1	0.047619048	84	2	0.023809524	39	2	0.051282051
A2M_amp	amp	12p13.31	14	1	0.071428571	21	2	0.095238095	84	8	0.095238095	39	1	0.025641026
A2M-AS1_amp	amp	12p13.31	14	1	0.071428571	21	2	0.095238095	84	8	0.095238095	39	1	0.025641026
A2ML1_amp	amp	12p13.31	14	1	0.071428571	21	2	0.095238095	84	8	0.095238095	39	1	0.025641026
A2MP1_amp	amp	12p13.31	14	1	0.071428571	21	2	0.095238095	84	8	0.095238095	39	1	0.025641026
A3GALT2_amp	amp	1p35.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
A4GALT_amp	amp	22q13.2	14	0	0	21	1	0.047619048	84	2	0.023809524	39	1	0.025641026
A4GNT_amp	amp	3q22.3	14	0	0	21	2	0.095238095	84	2	0.023809524	39	1	0.025641026
AAAS_del	del	12q13.13	14	0	0	21	0	0	84	1	0.011904762	39	0	0
AACSP1_amp	amp	5q35.3	14	0	0	21	0	0	84	2	0.023809524	39	0	0
AADAC_amp	amp	3q25.1	14	0	0	21	5	0.238095238	84	5	0.05952381	39	2	0.051282051
AADAC_del	del	3q25.1	14	0	0	21	0	0	84	1	0.011904762	39	0	0
AADACL2_amp	amp	3q25.1	14	0	0	21	5	0.238095238	84	6	0.071428571	39	2	0.051282051
AADACL4_del	del	1p36.21	14	0	0	21	0	0	84	1	0.011904762	39	0	0
AADAT_amp	amp	4q33	14	0	0	21	0	0	84	0	0	39	2	0.051282051
AADAT_del	del	4q33	14	0	0	21	0	0	84	1	0.011904762	39	0	0
AAED1_amp	amp	9q22.33	14	0	0	21	0	0	84	1	0.011904762	39	0	0
AAGAB_amp	amp	15q23	14	0	0	21	0	0	84	0	0	39	1	0.025641026
AAGAB_del	del	15q23	14	0	0	21	1	0.047619048	84	0	0	39	0	0
AAK1_amp	amp	2p13.3	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
AAMDC_amp	amp	11q14.1	14	1	0.071428571	21	2	0.095238095	84	2	0.023809524	39	2	0.051282051
AANAT_amp	amp	17q25.1	14	2	0.142857143	21	2	0.095238095	84	5	0.05952381	39	1	0.025641026
AAR2_amp	amp	20q11.23	14	0	0	21	0	0	84	2	0.023809524	39	0	0
AARD_amp	amp	8q24.11	14	6	0.428571429	21	5	0.238095238	84	35	0.416666667	39	7	0.179487179
AARS_amp	amp	16q22.1	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
AARS_del	del	16q22.1	14	0	0	21	0	0	84	0	0	39	2	0.051282051
AARS2_amp	amp	6p21.1	14	1	0.071428571	21	0	0	84	10	0.119047619	39	2	0.051282051
AARSD1_amp	amp	17q21.31	14	0	0	21	0	0	84	0	0	39	1	0.025641026
AASDH_amp	amp	4q12	14	0	0	21	1	0.047619048	84	0	0	39	2	0.051282051
AASDHPPT_amp	amp	11q22.3	14	0	0	21	1	0.047619048	84	0	0	39	0	0
AASS_amp	amp	7q31.32	14	3	0.214285714	21	1	0.047619048	84	2	0.023809524	39	0	0
AATF_amp	amp	17q12	14	0	0	21	0	0	84	2	0.023809524	39	0	0
AATK_amp	amp	17q25.3	14	2	0.142857143	21	1	0.047619048	84	5	0.05952381	39	0	0
AATK-AS1_amp	amp	17q25.3	14	2	0.142857143	21	1	0.047619048	84	5	0.05952381	39	0	0
ABAT_amp	amp	16p13.2	14	0	0	21	0	0	84	2	0.023809524	39	1	0.025641026
ABCA10_amp	amp	17q24.3	14	1	0.071428571	21	2	0.095238095	84	0	0	39	1	0.025641026
ABCA13_amp	amp	7p12.3	14	0	0	21	0	0	84	0	0	39	4	0.102564103
ABCA17P_amp	amp	16p13.3	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
ABCA2_amp	amp	9q34.3	14	0	0	21	1	0.047619048	84	1	0.011904762	39	2	0.051282051
ABCA3_amp	amp	16p13.3	14	0	0	21	0	0	84	1	0.011904762	39	2	0.051282051
ABCA4_amp	amp	1p22.1	14	0	0	21	2	0.095238095	84	2	0.023809524	39	0	0
ABCA5_amp	amp	17q24.3	14	1	0.071428571	21	2	0.095238095	84	0	0	39	1	0.025641026
ABCA6_amp	amp	17q24.2	14	1	0.071428571	21	2	0.095238095	84	0	0	39	1	0.025641026
